id,name,gender,language,praise_text,meaning,category,keywords
71,Ashipa,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
72,Oyekan,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
73,Tinubu,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
74,Afon,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
75,Jimoh,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
76,Belgore,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
77,Laaro,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
78,Gobir,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
79,Balogun Alanamu,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
80,Gambari,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
81,Gambari,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;sulu;lineage
82,Adeleke,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
83,Olofa,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,kwara;lineage
